year,2330,2002,3443,2317,3687,2731
2024,-,0.66(年估),12.3(年估),2.58(年估),3.2(年估),12.8(年估)
2023,16,0.52,16.6,3.83,3.59,18.1
2022,23.4,2.62,20.6,3.76,4.66,-12.4
2021,18.4,10.4,11.9,4.06,5.49,-8.52
2020,20.6,0.35,9.4,3.27,3.72,-5.6
2019,15.9,1.54,7.7,3.94,1.88,3.18
2018,17.2,4.16,12,3.83,-4.55,4.11
2017,17.7,3.04,11.5,4.51,-7.78,7.71
2016,18.9,2.83,9.25,6.18,-14.4,4.53
2015,19.4,1.12,9.57,6.3,-4.55,9.23
2014,19.1,3.54,9.27,5.55,-19.6,8.94
2013,16.9,2.81,6.13,4.92,-6.4,10.4
2012,19.1,1.04,12.5,4.85,8.17,5.1
2011,18,3.61,11,5.27,31.9,4.18
2010,24.7,8.22,13.8,6.28,9.77,6.09
2009,15.5,4.68,10.2,8.04,29.1,
2008,17.8,5.89,19.6,6.49,,
2007,19,15.8,22.8,11.3,,
2006,23,12.9,11.2,12,,
2005,18.4,16.5,8.09,11.6,,
2004,20.4,20.8,2.57,11.5,,
2003,11.8,16.3,,14,,
2002,5.71,8,,14.6,,
2001,3.93,3.63,,13.9,,
2000,21.5,-,,14.3,,
1999,12.5,-,,16,,
1998,11.6,-,,18.6,,
1997,17.7,-,,21.2,,
1996,30.5,-,,16.5,,
1995,31.2,-,,15.2,,
1994,-,-,,11.5,,
1993,-,-,,-,,
1992,-,-,,-,,
1991,-,-,,-,,
1990,,,,-,,
