year,2002,year,2330,year,3443,year,2317,year,2731,year,3687
24Q1,4.38,24Q1,53.1,24Q1,29.7,24Q1,6.32,24Q1,17,24Q1,41.3
2023,4.62,2023,54.4,2023,30.4,2023,6.3,2023,15.1,2023,41.3
2022,7.1,2022,59.6,2022,34.7,2022,6.04,2022,17.8,2022,43.7
2021,20.4,2021,51.6,2021,34.6,2021,6.04,2021,17.3,2021,41.7
2020,4.8,2020,53.1,2020,30,2020,5.65,2020,16,2020,40.4
2019,7.6,2019,46,2019,33,2019,5.91,2019,10.7,2019,39.3
2018,12.2,2018,48.3,2018,29.8,2018,6.27,2018,10.7,2018,29.7
2017,11.3,2017,50.6,2017,26,2017,6.44,2017,12,2017,27.6
2016,13.6,2016,50.1,2016,25.7,2016,7.38,2016,12.2,2016,28.3
2015,7.51,2015,48.7,2015,28.3,2015,7.15,2015,13.5,2015,33.4
2014,12,2014,49.5,2014,27.1,2014,6.93,2014,13.9,2014,19.3
2013,10.8,2013,47.1,2013,25.9,2013,6.44,2013,14.4,2013,28.5
2012,5.41,2012,48.2,2012,23,2012,6.41,2012,14,2012,66.6
2011,9.13,2011,45.4,2011,20.8,2011,7.72,2011,14.5,2011,68.5
2010,18.1,2010,49.4,2010,19.4,2010,8.15,2010,14.1,2010,56.4
2009,11,2009,43.7,2009,21.3,2009,9.52,,,2009,62
2008,13.3,2008,42.5,2008,20.5,2008,8.62,,,,
2007,25,2007,44.1,2007,21.2,2007,9.84,,,,
2006,23.7,2006,49.1,2006,23.2,2006,9.89,,,,
2005,28.8,2005,44.3,2005,30,2005,10.3,,,,
2004,36.3,2004,45,2004,29.2,2004,12.2,,,,
2003,34.4,2003,36.9,,,2003,13.1,,,,
2002,24.1,2002,32.2,,,2002,14.7,,,,
2001,13.6,2001,26.7,,,2001,18.3,,,,
2000, - ,2000,47.3,,,2000,22,,,,
1999, - ,1999,39.4,,,1999,25.2,,,,
1998, - ,1998,36,,,1998,29.6,,,,
1997, - ,1997,48,,,1997,30.4,,,,
1996, - ,1996,55.8,,,1996,31,,,,
1995, - ,1995,56,,,1995,29.8,,,,
1994, - ,1994, - ,,,1994,24.8,,,,
1993, - ,1993, - ,,,1993, - ,,,,
1992, - ,1992, - ,,,1992, - ,,,,
1991, - ,1991, - ,,,1991, - ,,,,
,,,,,,1990, - ,,,,
