Year_2330,2330,Year_3443,3443,Year_2002,2002,Year_2317,2317,Year_2731,2731,Year_3687,3687
24Q1,+0.72,24Q1,-2.03,24Q1,+0.09,24Q1,+0.66,24Q1,+2.41,24Q1,+0.14
2023,-6.86,2023,-1.51,2023,-1.04,2023,+0.04,2023,+24.12,2023,-0.96
2022,+16.19,2022,+16.79,2022,-2.87,2022,+0.16,2022,-2.48,2022,+0.29
2021,+3.04,2021,+4.56,2021,+3.97,2021,+2.71,2021,-0.53,2021,+0.93
2020,+6.65,2020,+1.61,2020,-0.52,2020,-0.98,2020,-9.04,2020,+1.37
2019,-0.22,2019,-2.64,2019,-1.01,2019,+0.29,2019,-0.52,2019,+3.41
2018,+0.31,2018,+0.99,2018,+0.49,2018,+0.02,2018,-2.84,2018,+1.09
2017,+0.34,2017,+2.27,2017,+0.05,2017,-0.59,2017,+2.96,2017,+4.25
2016,+1.07,2016,+0.42,2016,+0.55,2016,-0.82,2016,-2.89,2016,-5.02
2015,+1.64,2015,+0.42,2015,-0.94,2015,+0.57,2015,+0.95,2015,+9.09
2014,+2.92,2014,+1.11,2014,+0.38,2014,+0.69,2014,-0.37,2014,-8.48
2013,+0.84,2013,-2.42,2013,+0.66,2013,+0.14,2013,+3.47,2013,-10.55
2012,+1.24,2012,+0.64,2012,-0.97,2012,+0.37,2012,+0.05,2012,-5.58
2011,-1.06,2011,-0.62,2011,-1.47,2011,-0.36,2011,-1.13,2011,+8.72
2010,+2.79,2010,+1.41,2010,+1.29,2010,-0.83,2010,-,2010,-7.45
2009,-0.41,2009,-2.9,2009,-0.49,2009,+1.4,,,2009,-
2008,-0.28,2008,-0.36,2008,-2.46,2008,-4.91,,,,
