Year,2002,Year,2330,Year,3443,Year,2317,Year,2731,Year,3687
24Q1,49.9 ,24Q1,36.7 ,24Q1,53.2 ,24Q1,55.2 ,24Q1,61.3 ,24Q1,55.4 
2023,49.6 ,2023,37 ,2023,54.1 ,2023,57.2 ,2023,59.6 ,2023,55 
2022,47.8 ,2022,40.4 ,2022,62 ,2022,60.1 ,2022,77.6 ,2022,56 
2021,43.8 ,2021,41.7 ,2021,64.6 ,2021,59.8 ,2021,69.7 ,2021,73.3 
2020,49.2 ,2020,33 ,2020,54 ,2020,59.9 ,2020,71.6 ,2020,69.2 
2019,50.2 ,2019,28.4 ,2019,48.3 ,2019,57.9 ,2019,74.2 ,2019,67.3 
2018,49.2 ,2018,19.7 ,2018,46.2 ,2018,60.6 ,2018,64.5 ,2018,61.2 
2017,50.3 ,2017,23.6 ,2017,51.2 ,2017,65.6 ,2017,64.2 ,2017,50.5 
2016,51.3 ,2016,26.3 ,2016,43.6 ,2016,56.3 ,2016,61.3 ,2016,40.9 
2015,52.7 ,2015,26.2 ,2015,34.7 ,2015,54.1 ,2015,56.2 ,2015,30.3 
2014,51 ,2014,30 ,2014,30.4 ,2014,60 ,2014,54.6 ,2014,25.8 
2013,53.2 ,2013,32.9 ,2013,25.3 ,2013,65.1 ,2013,49.4 ,2013,12.9 
2012,51.4 ,2012,24.8 ,2012,28.6 ,2012,66.8 ,2012,66 ,2012,13.2 
2011,49 ,2011,18.4 ,2011,32 ,2011,64.5 ,2011,74.8 ,2011,19.6 
2010,46.9 ,2010,19.5 ,2010,31.8 ,2010,62.8 ,2010,72.1 ,2010,38.6 
2009,43.9 ,2009,16.1 ,2009,31.6 ,2009,53.5 ,,,2009,31.5 
2008,44.8 ,2008,14.1 ,2008,34.2 ,2008,55.1 ,,,,
2007,29.9 ,2007,14 ,2007,36.5 ,2007,55.8 ,,,,
2006,32.4 ,2006,13.3 ,2006,38.7 ,2006,54.5 ,,,,
2005,34.3 ,2005,14.1 ,2005,30 ,2005,57 ,,,,
2004,28.6 ,2004,20.1 ,2004,25.4 ,2004,59.3 ,,,,
2003,32.4 ,2003,19.2 ,,,2003,56.3 ,,,,
2002,37.4 ,2002,24.2 ,,,2002,47.3 ,,,,
2001,38.3 ,2001,24.3 ,,,2001,44.3 ,,,,
2000,- ,2000,29.4 ,,,2000,49.9 ,,,,
1999,- ,1999,35.2 ,,,1999,38 ,,,,
1998,- ,1998,40.3 ,,,1998,54.1 ,,,,
1997,- ,1997,44.3 ,,,1997,48 ,,,,
1996,- ,1996,33.9 ,,,1996,39.2 ,,,,
1995,- ,1995,30.5 ,,,1995,47.6 ,,,,
1994,- ,1994,- ,,,1994,56.9 ,,,,
1993,- ,1993,- ,,,1993,- ,,,,
1992,- ,1992,- ,,,1992,- ,,,,
1991,- ,1991,- ,,,1991,- ,,,,
,,,,,,1990,- ,,,,
